fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
2022-06-01,8293X,XÀTIVA,VALENCIA,88,"25,7","0,0","17,0",05:30,"34,4",14:40,36,"1,7","8,3",16:20,"13,6","1005,3",08,"1001,0",Varias
2022-06-02,8293X,XÀTIVA,VALENCIA,88,"24,6","0,0","16,7",05:00,"32,6",12:10,01,"3,6","10,0",14:40,"11,7","1003,8",22,"1000,6",15
2022-06-03,8293X,XÀTIVA,VALENCIA,88,"26,0","0,0","19,1",05:00,"32,8",12:20,36,"3,3","10,0",16:50,"12,1","1003,4",21,"1000,1",16
2022-06-04,8293X,XÀTIVA,VALENCIA,88,"25,8","0,0","18,3",05:20,"33,3",12:50,33,"3,3","11,4",16:20,"13,5","1005,0",24,"1001,1",16
2022-06-05,8293X,XÀTIVA,VALENCIA,88,"27,4","0,0","17,9",03:50,"36,9",15:40,27,"2,5","9,2",09:20,"11,8","1008,8",24,"1005,0",00
2022-06-06,8293X,XÀTIVA,VALENCIA,88,"25,3","0,0","16,7",04:40,"33,9",15:40,01,"2,2","9,2",15:00,"12,3","1009,0",08,"1004,2",17
2022-06-07,8293X,XÀTIVA,VALENCIA,88,"25,4","0,0","18,0",05:00,"32,7",13:50,34,"3,1","8,9",Varias,"13,8","1007,5",00,"1003,6",Varias
2022-06-08,8293X,XÀTIVA,VALENCIA,88,"29,5","0,0","20,2",05:30,"38,8",13:50,31,"3,6","12,2",14:00,"11,1","1005,3",24,"1000,1",17
2022-06-09,8293X,XÀTIVA,VALENCIA,88,"27,8","0,0","19,3",04:50,"36,3",15:00,01,"3,1","8,6",17:00,"13,7","1009,0",24,"1003,8",15
2022-06-10,8293X,XÀTIVA,VALENCIA,88,"27,8","0,0","18,5",05:00,"37,1",15:00,99,"2,2","9,7",Varias,"14,3","1009,8",23,"1005,7",16
2022-06-11,8293X,XÀTIVA,VALENCIA,88,"26,6","0,0","17,7",05:00,"35,4",13:20,06,"2,5","8,9",14:40,"14,2","1011,8",23,"1007,4",Varias
2022-06-12,8293X,XÀTIVA,VALENCIA,88,"27,8","0,0","18,2",05:00,"37,5",14:40,34,"2,8","8,3",17:20,"13,8","1011,6",00,"1006,8",16
2022-06-13,8293X,XÀTIVA,VALENCIA,88,"26,6","0,0","17,6",04:50,"35,5",12:30,34,"3,3","10,8",14:20,"12,6","1008,8",00,"1004,8",17
2022-06-14,8293X,XÀTIVA,VALENCIA,88,"27,5","0,0","19,5",05:30,"35,5",13:00,35,"2,8","10,8",16:10,"9,7","1008,2",21,"1003,1",14
2022-06-15,8293X,XÀTIVA,VALENCIA,88,"29,6","0,0","20,6",05:10,"38,7",15:50,02,"1,7","8,9",19:00,"9,4","1007,9",23,"1003,2",16
2022-06-16,8293X,XÀTIVA,VALENCIA,88,"30,0","0,0","21,5",05:00,"38,6",14:50,,,,,,"1009,7",22,"1005,5",15
2022-06-17,8293X,XÀTIVA,VALENCIA,88,"31,6","0,0","20,7",Varias,"42,6",15:00,04,"2,8","8,1",15:20,"13,2","1009,4",06,"1005,4",17
2022-06-18,8293X,XÀTIVA,VALENCIA,88,"29,8","0,0","19,5",05:00,"40,1",13:50,36,"2,5","10,6",14:30,"13,1","1008,2",00,"1001,2",17
2022-06-19,8293X,XÀTIVA,VALENCIA,88,"29,4","0,0","22,7",04:30,"36,0",14:40,34,"2,8","9,7",16:20,"12,0","1002,6",00,"997,1",17
2022-06-20,8293X,XÀTIVA,VALENCIA,88,"28,5","0,0","22,4",05:00,"34,6",15:30,08,"2,5","14,7",20:30,"9,3","1001,1",21,"997,6",18
2022-06-21,8293X,XÀTIVA,VALENCIA,88,"27,6","18,2","21,2",20:30,"34,1",15:30,26,"1,9","10,8",18:50,"5,3","1001,2",19,"998,1",17
2022-06-22,8293X,XÀTIVA,VALENCIA,88,"28,0","0,0","19,8",05:00,"36,1",17:00,25,"3,3","10,0",14:00,"13,5","1001,2",08,"997,2",17
2022-06-23,8293X,XÀTIVA,VALENCIA,88,"28,4","0,0","20,9",03:00,"36,0",15:40,24,"3,9","10,8",15:00,"14,1","1002,9",08,"999,0",02
2022-06-24,8293X,XÀTIVA,VALENCIA,88,"28,2","0,0","20,3",05:00,"36,2",16:50,21,"3,1","10,0",14:10,"14,1","1005,1",07,"999,5",17
2022-06-25,8293X,XÀTIVA,VALENCIA,88,"27,2","0,0","18,9",05:00,"35,4",15:50,06,"3,6","10,8",16:00,"14,0","1002,1",00,"996,4",17
2022-06-26,8293X,XÀTIVA,VALENCIA,88,"26,0","0,0","20,3",05:50,"31,8",16:30,04,"3,3","10,8",15:00,"11,7","1000,5",23,"996,8",17
2022-06-27,8293X,XÀTIVA,VALENCIA,88,"24,2","0,8","18,5",23:59,"29,9",15:00,36,"3,9","12,2",16:20,"6,5","1009,2",21,"1000,0",02
2022-06-28,8293X,XÀTIVA,VALENCIA,88,"25,9","0,0","16,8",05:00,"35,0",14:40,13,"2,2","10,0",15:30,"14,1","1008,5",00,"1002,6",18
2022-06-29,8293X,XÀTIVA,VALENCIA,88,"28,7","0,0","19,8",05:00,"37,6",16:00,35,"3,3","8,9",13:00,"13,1","1006,0",00,"997,9",18
2022-06-30,8293X,XÀTIVA,VALENCIA,88,"26,6","0,0","19,2",05:00,"33,9",16:00,35,"3,9","10,3",18:30,"12,9","1004,5",24,"998,1",16
2022-07-01,8293X,XÀTIVA,VALENCIA,88,"25,9","0,0","21,1",23:50,"30,7",13:10,34,"3,1","9,2",14:30,"3,5","1009,2",23,"1004,3",02
2022-07-02,8293X,XÀTIVA,VALENCIA,88,"25,8","0,0","20,5",05:20,"31,0",13:40,02,"2,8","10,8",14:50,"10,4","1009,4",22,"1006,7",17
2022-07-03,8293X,XÀTIVA,VALENCIA,88,"28,0","0,0","20,5",05:30,"35,5",14:10,32,"3,1","9,7",14:30,"8,7","1008,6",00,"1005,2",19
2022-07-04,8293X,XÀTIVA,VALENCIA,88,"29,0","0,0","20,6",05:30,"37,3",13:50,34,"2,5","8,9",16:00,"12,2","1007,1",00,"1003,0",17
2022-07-05,8293X,XÀTIVA,VALENCIA,88,"27,1","0,0","23,3",02:40,"30,9",15:10,04,"3,3","8,1",10:20,"2,3","1009,8",23,"1006,0",17
2022-07-06,8293X,XÀTIVA,VALENCIA,88,"26,6","0,0","21,5",23:59,"31,6",13:50,08,"3,3","8,6",13:30,"2,0","1011,0",20,"1007,4",04
2022-07-07,8293X,XÀTIVA,VALENCIA,88,"27,6","0,0","20,4",03:00,"34,9",14:10,06,"1,9","9,2",14:30,"10,6","1012,1",08,"1009,1",18
2022-07-08,8293X,XÀTIVA,VALENCIA,88,"28,2","0,0","19,4",03:50,"37,1",15:50,05,"2,2","8,1",15:30,"14,2","1012,6",Varias,"1008,1",17
2022-07-09,8293X,XÀTIVA,VALENCIA,88,"28,9","0,0","21,2",05:30,"36,6",15:00,04,"2,5","8,9",14:50,"13,6","1012,7",Varias,"1007,0",18
2022-07-10,8293X,XÀTIVA,VALENCIA,88,"29,4","0,0","20,1",05:00,"38,8",15:40,34,"2,8","7,8",18:10,"14,0","1009,3",00,"1002,7",17
2022-07-11,8293X,XÀTIVA,VALENCIA,88,"30,5","0,0","21,0",05:00,"40,0",16:00,99,"3,3","9,2",Varias,"13,5","1007,5",24,"1002,1",17
2022-07-12,8293X,XÀTIVA,VALENCIA,88,"29,8","0,0","20,6",04:30,"38,9",15:00,06,"3,1","10,0",16:20,"13,9","1010,2",24,"1006,8",17
2022-07-13,8293X,XÀTIVA,VALENCIA,88,"32,0","0,0","20,5",03:40,"43,6",15:20,22,"2,2","9,4",18:10,"14,0","1010,2",Varias,"1005,9",17
2022-07-14,8293X,XÀTIVA,VALENCIA,88,"28,7","0,0","20,5",05:00,"36,9",12:00,35,"4,2","10,0",13:20,"13,5","1009,5",00,"1005,1",16
2022-07-15,8293X,XÀTIVA,VALENCIA,88,"30,4","0,0","21,4",05:00,"39,5",14:50,34,"3,1","7,5",14:40,"13,5","1007,9",00,"1003,7",17
2022-07-16,8293X,XÀTIVA,VALENCIA,88,"30,8","0,0","21,3",03:30,"40,2",16:00,03,"2,8","11,4",14:40,"13,6","1007,4",24,"1003,4",17
2022-07-17,8293X,XÀTIVA,VALENCIA,88,"30,6","0,0","21,5",04:30,"39,6",13:00,06,"2,5","10,3",13:40,"13,6","1008,7",Varias,"1005,4",17
2022-07-18,8293X,XÀTIVA,VALENCIA,88,"30,0","0,0","20,8",05:10,"39,1",14:30,01,"3,1","7,5",13:40,"13,6","1008,7",00,"1004,5",17
