fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,sol,presMax,horaPresMax,presMin,horaPresMin
"2020-03-14,8309X,UTIEL,VALENCIA,758,""12,5"",""0,0"",""3,8"",07:20,""21,2"",15:40,14,""3,1"",""7,8"",16:50,""10,7"",""933,2"",10,""930,4"",15"
"2020-03-15,8309X,UTIEL,VALENCIA,758,""12,3"",""3,2"",""4,9"",06:00,""19,7"",14:50,32,""3,3"",""11,7"",19:30,""8,3"",""932,4"",00,""925,6"",17"
"2020-03-16,8309X,UTIEL,VALENCIA,758,""5,9"",""24,0"",""2,1"",14:10,""9,7"",00:40,26,""3,6"",""13,9"",08:30,""0,0"",""930,8"",24,""922,1"",08"
"2020-03-17,8309X,UTIEL,VALENCIA,758,""8,6"",""7,6"",""5,3"",,""11,8"",14:00,09,""3,1"",""12,5"",16:20,""0,0"",""939,4"",22,""930,7"",00"
"2020-03-18,8309X,UTIEL,VALENCIA,758,""10,6"",""0,0"",""6,3"",23:59,""14,9"",14:00,10,""2,5"",""10,6"",01:30,""7,3"",""939,1"",00,""936,0"",17"
"2020-03-19,8309X,UTIEL,VALENCIA,758,""7,4"",""0,0"",""3,3"",04:00,""11,5"",15:00,12,""2,8"",""7,8"",10:40,""0,0"",""936,5"",00,""931,6"",24"
"2020-03-20,8309X,UTIEL,VALENCIA,758,""8,6"",""1,2"",""6,8"",20:50,""10,4"",12:00,12,""3,6"",""7,8"",14:50,""0,0"",""931,6"",00,""928,8"",19"
"2020-03-21,8309X,UTIEL,VALENCIA,758,""8,2"",""6,8"",""6,2"",23:59,""10,2"",Varias,16,""2,8"",""6,9"",17:00,""0,0"",""929,0"",00,""923,9"",16"
"2020-03-22,8309X,UTIEL,VALENCIA,758,""8,8"",,""5,9"",02:00,""11,7"",14:30,12,""3,1"",""8,6"",15:20,""1,2"",""926,9"",Varias,""923,3"",Varias"
"2020-03-26,8309X,UTIEL,VALENCIA,758,""8,0"",""0,0"",""2,6"",23:59,""13,3"",14:50,36,""3,1"",""12,5"",14:00,,""925,1"",00,""919,9"",16"
"2020-03-27,8309X,UTIEL,VALENCIA,758,""3,3"",""5,6"",""1,4"",01:50,""5,2"",15:20,10,""2,8"",""7,2"",14:00,""0,0"",""927,9"",Varias,""923,4"",05"
"2020-03-28,8309X,UTIEL,VALENCIA,758,""6,4"",""0,0"",""0,3"",06:00,""12,4"",15:30,13,""1,4"",""7,2"",11:00,""5,5"",""931,6"",23,""927,9"",00"
"2020-03-29,8309X,UTIEL,VALENCIA,758,""9,5"",""0,0"",""0,4"",05:20,""18,6"",16:10,25,""2,8"",""8,6"",17:30,""10,7"",""931,5"",00,""926,2"",17"
"2020-03-30,8309X,UTIEL,VALENCIA,758,""6,6"",""21,2"",""3,6"",Varias,""9,5"",01:10,14,""2,5"",""7,5"",13:30,""0,2"",""926,7"",00,""923,6"",24"
"2020-03-31,8309X,UTIEL,VALENCIA,758,""7,4"",""9,8"",""2,6"",Varias,""12,2"",15:20,09,""2,8"",""8,9"",16:10,""1,6"",""925,0"",21,""921,0"",05"
"2020-04-01,8309X,UTIEL,VALENCIA,758,""11,8"",""5,0"",""7,4"",06:00,""16,1"",16:30,22,""3,9"",""8,9"",13:00,""10,8"",""925,2"",22,""922,6"",Varias"
"2020-04-02,8309X,UTIEL,VALENCIA,758,""10,0"",""5,2"",""5,3"",06:50,""14,8"",14:40,12,""2,5"",""10,8"",15:40,""7,2"",""927,4"",23,""922,6"",15"
"2020-04-03,8309X,UTIEL,VALENCIA,758,""10,5"",""0,0"",""3,9"",05:30,""17,1"",14:50,99,""2,8"",""6,7"",Varias,""10,7"",""930,9"",Varias,""926,5"",Varias"
"2020-04-04,8309X,UTIEL,VALENCIA,758,""8,7"",""0,0"",""2,0"",05:50,""15,4"",12:30,14,""3,9"",""9,2"",12:00,""7,8"",""932,3"",23,""929,8"",16"
"2020-04-05,8309X,UTIEL,VALENCIA,758,""11,3"",""0,0"",""6,4"",Varias,""16,2"",15:20,14,""3,6"",""7,8"",12:00,""10,0"",""933,0"",22,""930,5"",16"
"2020-04-06,8309X,UTIEL,VALENCIA,758,""13,3"",""8,2"",""7,4"",,""19,2"",14:20,12,""2,2"",""9,4"",15:20,""3,7"",""937,0"",Varias,""932,5"",04"
"2020-04-07,8309X,UTIEL,VALENCIA,758,""12,0"",""0,2"",""8,5"",06:20,""15,4"",15:40,12,""2,8"",""6,4"",07:20,""0,9"",""938,5"",22,""936,2"",04"
